E700	GlobalNavButton	menu,hamburger,line,three,symbol-icon
E701	Wifi	wireless fidelity,connect,internet,web,connection,network,wlan,lan
E702	Bluetooth	device,connection
E703	Connect	device,connection
E704	InternetSharing	network,wifi,connection,signal,wlan,lan
E705	VPN	shield,privacy,security,lock,protection,secure
E706	Brightness	sun,light,dark
E707	MapPin	location,marker,destination,place,position,symbol-icon
E708	QuietHours	night,moon
E709	Airplane	flight,vehicle,travel
E70A	Tablet	device,screen,physical,watch,view,video,computer,pc
E70B	QuickNote	note,sticky note,sketch,reminder
E70C	RememberedDevice	device,memory,trusted,saved,access
E70D	ChevronDown	arrow,dropdown,direction,expand,contract
E70E	ChevronUp	arrow,dropdown,direction,expand,contract,dropup
E70F	Edit	pencil,update,create,draw,symbol-icon
E710	Add	+,plus,addition,new,symbol-icon
E711	Cancel	x,close,stop,exit,abort,reject,symbol-icon
E712	More	...,dots,overflow,menu,navigation,symbol-icon,options
E713	Settings	gear,options,cog,symbol-icon,configuration
E714	Video	film,clip,media,content,camera,recording,capture,symbol-icon
E715	Mail	envelope,email,delivery,message,letter,symbol-icon
E716	People	person,user,group,team,organization,contact,guest,symbol-icon
E717	Phone	device,mobile,small screen,cellular telephone,apple,android,symbol-icon
E718	Pin	save,share,post,favorite,favourite,symbol-icon
E719	Shop	collection,purchase,retail,cart,online,currency,product,symbol-icon
E71A	Stop	control,playback,start,begin,symbol-icon,media,video,audio
E71B	Link	link,share,web,internet,symbol-icon
E71C	Filter	dropdown,sort,line,symbol-icon
E71D	AllApps	plugin,square,stack,symbol-icon
E71E	Zoom	zoom in,zoom out,magnifying glass,search,symbol-icon
E71F	ZoomOut	zoom in,zoom out,magnifying glass,search,symbol-icon
E720	Microphone	audio,voice,record,sound,speech,symbol-icon
E721	Search	magnifying glass,zoom,inspect,review,symbol-icon
E722	Camera	image,photography,picture,symbol-icon
E723	Attach	image,photography,picture,symbol-icon
E724	Send	paper plane,mail,message,email,symbol-icon
E725	SendFill	paper plane,mail,message,email
E726	WalkSolid	person,user,movement,step,pedestrian,journey,foot,way
E727	InPrivate	private,mode,browser,person
E728	FavoriteList	star,like,favourite
E729	PageSolid	document,file,sheet,paper,text,symbol-icon
E72A	Forward	arrow,next,send,right,proceed,symbol-icon
E72B	Back	arrow,previous,return,left,rewind,symbol-icon
E72C	Refresh	reload,update,restart,circle,sync,symbol-icon
E72D	Share	arrow,square,forward,right,send,symbol-icon
E72E	Lock	private,security,access,protected,safety,permission,protection,secure
E730	ReportHacked	!,security,alert,breach,shield,warning,symbol-icon
E731	EMI	company,building,office,enterprise,corporate,business
E733	Blocked	blocked,cancel,stop
E734	FavoriteStar	star,favorite,favourite,highlight,bookmark,like,symbol-icon
E735	FavoriteStarFill	star,favorite,favourite,highlight,bookmark,like,symbol-icon
E736	ReadingMode	read,list,content,collection,news
E737	Favicon	logo,icon,brand,shortcut,symbol
E738	Remove	-,delete,symbol-icon
E739	Checkbox	selection,check,checkmark
E73A	CheckboxComposite	selection,check,checkmark
E73B	CheckboxFill	selection,check,checkmark
E73C	CheckboxIndeterminate	selection,check,checkmark
E73D	CheckboxCompositeReversed	selection,check,checkmark
E73E	CheckMark	approval,selected
E73F	BackToWindow	arrow,restore,window,return,symbol-icon
E740	FullScreen	arrow,expand,maximize,view,screen,zoom,symbol-icon
E741	ResizeTouchLarger	arrow,expand,grow,touch,increase,size
E742	ResizeTouchSmaller	arrow,shrink,reduce,decrease,minimize,touch
E743	ResizeMouseSmall	drag,resize,adjust,pointer,handle
E744	ResizeMouseMedium	drag,resize,adjust,pointer,handle
E745	ResizeMouseWide	drag,resize,adjust,pointer,handle
E746	ResizeMouseTall	drag,resize,adjust,pointer,handle
E747	ResizeMouseLarge	drag,resize,adjust,pointer,handle
E748	SwitchUser	person,user,switch,profile,account,login
E749	Print	printer,paper,copy,fax,office,ink,symbol-icon
E74A	Up	arrow,increase,rise,symbol-icon
E74B	Down	arrow,decrease,drop
E74C	OEM	brand,manufacturer,original
E74D	Delete	bin,trash,can,remove,edit,byee,symbol-icon
E74E	Save	floppy,disk,device,old,symbol-icon
E74F	Mute	sound,silence,volume,symbol-icon
E750	BackSpaceQWERTY	delete,backward,remove,keyboard
E751	ReturnKey	arrow,enter,submit,keyboard
E752	UpArrowShiftKey	keyboard
E753	Cloud	storage,upload,download,save,sync,remote
E754	Flashlight	torch,lamp
E755	RotationLock	arrow,security,access,protected,safety,permission,access,protection
E756	CommandPrompt	terminal,console,cmd
E759	SIPMove	sip,move
E75A	SIPUndock	sip,undock,redock
E75B	SIPRedock	sip,redock,taskbar,dock
E75C	EraseTool	undo,remove,delete,eraser,rubber
E75D	UnderscoreSpace	separation
E75E	GripperTool	drag,handle
E75F	Dialpad	dots,phone,call,number
E760	PageLeft	arrow,previous,back
E761	PageRight	arrow,next,forward
E762	MultiSelect	checkmark,task,list,type
E763	KeyboardLeftHanded	keyboard,type,key,device
E764	KeyboardRightHanded	keyboard,type,key,device
E765	KeyboardClassic	keyboard,type,key,device,digital,symbol-icon
E766	KeyboardSplit	keyboard,type,key,device
E767	Volume	sound,audio,level,speaker,symbol-icon
E768	Play	control,playback,start,begin,symbol-icon,media,video,audio
E769	Pause	control,playback,freeze,symbol-icon,media,video,audio
E76B	ChevronLeft	arrow,dropdown,direction,expand,contract
E76C	ChevronRight	arrow,dropdown,direction,expand,contract
E76D	InkingTool	pen,edit,create,draw
E76E	Emoji2	face,smiley,emote,feeling,symbol-icon
E76F	GripperBarHorizontal	drag,handle
E770	System	rectangle,shape
E771	Personalize	brush,customize,color,colour
E772	Devices	hardware,connections,peripherals,electronics,gadgets
E773	SearchAndApps	magnifying glass,zoom,inspect,review
E774	Globe	web,world,earth,global,symbol-icon
E775	TimeLanguage	clock,region
E776	EaseOfAccess	person,inclusive
E777	UpdateRestore	arrow,refresh,recover,repair
E778	HangUp	phone,symbol-icon
E779	ContactInfo	person,user,details,symbol-icon
E77A	Unpin	remove,delete,unattach,clear,disengage,symbol-icon
E77B	Contact	person,user,symbol-icon
E77C	Memo	voicemail,tape,playback,audio,recording,message,symbol-icon
E77E	IncomingCall	phone,receive
E77F	Paste	clipboard,copy,memory,symbol-icon
E780	PhoneBook	contacts,directory,list,symbol-icon
E781	LEDLight	light,illuminate
E783	Error	!,exclamation,alert
E784	GripperBarVertical	drag,handle
E785	Unlock	security,access,protected,safety,permission,protection,secure
E786	Slideshow	images,presentation,gallery,photos,show,symbol-icon
E787	Calendar	time,date,planning,symbol-icon
E788	GripperResize	triangle,drag,handle
E789	Megaphone	announcement,shout
E78A	Trim	cut,edit,shorten,clip,crop,symbol-icon
E78B	NewWindow	open,launch,symbol-icon
E78C	SaveLocal	floppy,disk,device,old,symbol-icon
E790	Color	theme,palette,art,edit,paint,colour
E791	DataSense	bars
E792	SaveAs	floppy,disk,device,old
E793	Light	brightness,sun,dark,theme,toggle
E794	Effects	AI,Filters,Visuals,Rendering
E799	AspectRatio	aspect,ratio,size
E7A1	Contrast	contrast,brightness,black,white
E7A5	DataSenseBar	bars
E7A6	Redo	arrow,restore,forward,symbol-icon
E7A7	Undo	arrow,revert,back,cancel,symbol-icon
E7A8	Crop	cut,symbol-icon
E7AA	PhotoCollection	photo,collection,photos,image
E7AC	OpenWith	application,program,associate,file,choose,viewer,symbol-icon
E7AD	Rotate	arrow,edit,create,canvas,horizontal,vertical,flip,symbol-icon
E7B3	RedEye	blink,pupil,show,hide,password
E7B5	SetlockScreen	symbol-icon
E7B7	MapPin2	location,marker,destination,place,position,symbol-icon
E7B8	Package	archive,bundle,file,collection,install
E7BA	Warning	!,alert,exclamation,triangle,issue
E7BC	ReadingList	read,list,content,collection,news
E7BE	Education	learning,knowledge,school,study,college,university,graduation
E7BF	ShoppingCart	collection,purchase,retail,online,currency,product
E7C0	Train	rail,transport,travel,track,station
E7C1	Flag	urgent,important,look,symbol-icon
E7C2	Move	arrow,drag,handle
E7C3	Page	document,file,sheet,paper,text,symbol-icon
E7C4	TaskView	document,file,sheet,paper,text
E7C5	BrowsePhotos	magnifying glass,zoom,inspect,review,gallery,images,pictures,search,symbol-icon
E7C6	HalfStarLeft	rating,score
E7C7	HalfStarRight	rating,score
E7C8	Record	circle,control,playback,wait,stop,transcribe
E7C9	TouchPointer	arrow,interact,click,hand,symbol-icon
E7DE	LangJPN	language,kanji,japan
E7E3	Ferry	boat,ship,ocean,travel
E7E6	Highlight	marker,edit,draw,focus,symbol-icon
E7E7	ActionCenterNotification	message,alert,reminder,warning,update
E7E8	PowerButton	on,off
E7EA	ResizeTouchNarrower	arrow
E7EB	ResizeTouchShorter	arrow
E7EC	DrivingMode	car
E7ED	RingerSilent	bell,sound,mute,volume
E7EE	OtherUser	person,symbol-icon
E7EF	Admin	elevated,permissions,control,rights,symbol-icon
E7F0	CC	subtitles,text,caption,speech,accessibility,symbol-icon
E7F1	SDCard	storage,memory,external,device
E7F2	CallForwarding	phone,handset,audio
E7F3	SettingsDisplaySound	volume,sound,audio,device,wave,configuration
E7F4	TVMonitor	screen,display,television,view
E7F5	Speakers	audio,sound,volume
E7F6	Headphone	audio,sound,volume,device
E7F7	DeviceLaptopPic	projection,present,presentation,view,slide,lecture
